Intenção,Sentença
Interagir com a luz ou o ar-condicionado,diminua a temperatura do ar condicionado em 2 graus
Obter informações relativas ao clima,FoxBot está calor!
Interagir com a luz ou o ar-condicionado,"Foxbot, tô com frio. Desligue o ar."
Interagir com a luz ou o ar-condicionado,Ligar para amigo
Interagir com a luz ou o ar-condicionado,"Foxbot, acordei"
Interagir com a luz ou o ar-condicionado,"Foxbot, estou com calor"
Obter informações relativas ao clima,qual é a chance de chover hoje
Obter informações relativas ao clima,está quente?
Interagir com a luz ou o ar-condicionado,Mude a temperatura do ar para 15 graus
Obter informações relativas ao clima,FoxBot está frio aqui dentro
Obter informações relativas ao clima,está frio?
Obter informações relativas ao clima,Quanto graus está lá fora?
Interagir com a luz ou o ar-condicionado,"Foxbot, dá uma segurada na potência do ar aí"
Consultar saldo da conta,Quanto dinheiro tenho?
Obter informações relativas ao clima,Qual o clima de hoje?
Consultar saldo da conta,Quando é o fechamento pagamento da fatura do cartão
Interagir com a luz ou o ar-condicionado,Foxbot estou passando mal de calor
Consultar saldo da conta,Quanto eu dinheiro tenho?
Consultar saldo da conta,"Foxbot, quanta grana eu tenho?"
Consultar saldo da conta,FoxBot quanto posso gastar?
Interagir com a luz ou o ar-condicionado,esta muito quente
Consultar saldo da conta,Minha conta bancária está vazia?
Consultar saldo da conta,Minha conta está negativa?
Consultar saldo da conta,"Foxbot, diz aí quanto dinheiro eu tenho"
Interagir com a luz ou o ar-condicionado,"Foxbot, lumus"
Interagir com a luz ou o ar-condicionado,desligue o arcondicionado em 3 horas
Interagir com a luz ou o ar-condicionado,Minha internet caiu
Interagir com a luz ou o ar-condicionado,temperatura minima do ac
Interagir com a luz ou o ar-condicionado,FoxBot tenho medo do escuro
Interagir com a luz ou o ar-condicionado,Diminua a temperatura
Consultar saldo da conta,"Foxbot, estou negativado?"
Consultar saldo da conta,qunato tenho de din?
Obter informações relativas ao clima,FoxBot posso ir pra praia no fim de semana?
Interagir com a luz ou o ar-condicionado,"Foxbot, ligar tudo"
Interagir com a luz ou o ar-condicionado,Aumente a temperatura
Interagir com a luz ou o ar-condicionado,ligue o refrigerador de ambiente
Consultar saldo da conta,qual é $ na conta?
Obter informações relativas ao clima,"Foxbot, piscina hoje?"
Interagir com a luz ou o ar-condicionado,FoxBot esta frio aqui dentro
Obter informações relativas ao clima,como esta o aquecimento global
Obter informações relativas ao clima,"Foxbot, rola um piscininha hoje?"
Consultar saldo da conta,quantos kinderovos eu posso comprar com o meu saldo
Consultar saldo da conta,"Foxbot, quanto ainda posso gastar?"
Obter informações relativas ao clima,qual será o clima de terça feira que vem
Interagir com a luz ou o ar-condicionado,Aumente o ar
Consultar saldo da conta,qual é o meu maior custo atualmente
Interagir com a luz ou o ar-condicionado,Diminua o ar
Consultar saldo da conta,"Foxbot, quanto dinheiro tenho pra gastar?"
Obter informações relativas ao clima,qual é o clima da próxima quinta feira?
Consultar saldo da conta,Tamo rico?
Interagir com a luz ou o ar-condicionado,to com frio
Interagir com a luz ou o ar-condicionado,Ligar a luz
Interagir com a luz ou o ar-condicionado,to suando muito!
Consultar saldo da conta,saldo
Consultar saldo da conta,quero ir ao restaurante
Consultar saldo da conta,quero comprar um carro
Obter informações relativas ao clima,posso usar camiseta amanha?
